#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   136    0.38812E+04   -0.42199E+02    0.18720E-05   -0.42199E+02    0.10583E+01   -0.67515E-08    0.18720E-05   -0.67515E-08    0.40564E-11
   137    0.39151E+04   -0.42504E+02    0.18396E-05   -0.42504E+02    0.10595E+01   -0.66704E-08    0.18396E-05   -0.66704E-08    0.39725E-11
   138    0.39489E+04   -0.42790E+02    0.18080E-05   -0.42790E+02    0.10602E+01   -0.65697E-08    0.18080E-05   -0.65697E-08    0.38908E-11
   139    0.39824E+04   -0.43056E+02    0.17772E-05   -0.43056E+02    0.10605E+01   -0.64522E-08    0.17772E-05   -0.64522E-08    0.38113E-11
   140    0.40160E+04   -0.43303E+02    0.17471E-05   -0.43303E+02    0.10603E+01   -0.63204E-08    0.17471E-05   -0.63204E-08    0.37339E-11
   141    0.40494E+04   -0.43530E+02    0.17177E-05   -0.43530E+02    0.10595E+01   -0.61772E-08    0.17177E-05   -0.61772E-08    0.36585E-11
   142    0.40827E+04   -0.43736E+02    0.16891E-05   -0.43736E+02    0.10583E+01   -0.60250E-08    0.16891E-05   -0.60250E-08    0.35851E-11
   143    0.41160E+04   -0.43921E+02    0.16611E-05   -0.43921E+02    0.10567E+01   -0.58667E-08    0.16611E-05   -0.58667E-08    0.35135E-11
   144    0.41491E+04   -0.44086E+02    0.16337E-05   -0.44086E+02    0.10546E+01   -0.57049E-08    0.16337E-05   -0.57049E-08    0.34439E-11
   145    0.41819E+04   -0.44228E+02    0.16070E-05   -0.44228E+02    0.10521E+01   -0.55423E-08    0.16070E-05   -0.55423E-08    0.33760E-11
   146    0.42149E+04   -0.44349E+02    0.15808E-05   -0.44349E+02    0.10491E+01   -0.53815E-08    0.15808E-05   -0.53815E-08    0.33099E-11
   147    0.42475E+04   -0.44447E+02    0.15551E-05   -0.44447E+02    0.10457E+01   -0.52253E-08    0.15551E-05   -0.52253E-08    0.32454E-11
   148    0.42799E+04   -0.44523E+02    0.15299E-05   -0.44523E+02    0.10418E+01   -0.50763E-08    0.15299E-05   -0.50763E-08    0.31825E-11
   149    0.43122E+04   -0.44576E+02    0.15053E-05   -0.44576E+02    0.10375E+01   -0.49372E-08    0.15053E-05   -0.49372E-08    0.31211E-11
   150    0.43443E+04   -0.44603E+02    0.14810E-05   -0.44603E+02    0.10328E+01   -0.48106E-08    0.14810E-05   -0.48106E-08    0.30611E-11
   151    0.43762E+04   -0.44609E+02    0.14572E-05   -0.44609E+02    0.10277E+01   -0.46987E-08    0.14572E-05   -0.46987E-08    0.30026E-11
   152    0.44078E+04   -0.44590E+02    0.14338E-05   -0.44590E+02    0.10221E+01   -0.46011E-08    0.14338E-05   -0.46011E-08    0.29455E-11
   153    0.44393E+04   -0.44545E+02    0.14108E-05   -0.44545E+02    0.10161E+01   -0.45168E-08    0.14108E-05   -0.45168E-08    0.28897E-11
   154    0.44705E+04   -0.44476E+02    0.13882E-05   -0.44476E+02    0.10098E+01   -0.44449E-08    0.13882E-05   -0.44449E-08    0.28352E-11
   155    0.45015E+04   -0.44383E+02    0.13661E-05   -0.44383E+02    0.10031E+01   -0.43844E-08    0.13661E-05   -0.43844E-08    0.27819E-11
   156    0.45322E+04   -0.44265E+02    0.13443E-05   -0.44265E+02    0.99614E+00   -0.43345E-08    0.13443E-05   -0.43345E-08    0.27300E-11
   157    0.45628E+04   -0.44121E+02    0.13229E-05   -0.44121E+02    0.98879E+00   -0.42941E-08    0.13229E-05   -0.42941E-08    0.26793E-11
   158    0.45930E+04   -0.43952E+02    0.13019E-05   -0.43952E+02    0.98116E+00   -0.42623E-08    0.13019E-05   -0.42623E-08    0.26297E-11
   159    0.46230E+04   -0.43757E+02    0.12812E-05   -0.43757E+02    0.97312E+00   -0.42381E-08    0.12812E-05   -0.42381E-08    0.25814E-11
   160    0.46527E+04   -0.43536E+02    0.12610E-05   -0.43536E+02    0.96480E+00   -0.42206E-08    0.12610E-05   -0.42206E-08    0.25342E-11
   161    0.46822E+04   -0.43289E+02    0.12411E-05   -0.43289E+02    0.95628E+00   -0.42089E-08    0.12411E-05   -0.42089E-08    0.24881E-11
   162    0.47115E+04   -0.43017E+02    0.12216E-05   -0.43017E+02    0.94741E+00   -0.42020E-08    0.12216E-05   -0.42020E-08    0.24431E-11
   163    0.47405E+04   -0.42718E+02    0.12025E-05   -0.42718E+02    0.93828E+00   -0.41989E-08    0.12025E-05   -0.41989E-08    0.23991E-11
   164    0.47691E+04   -0.42394E+02    0.11838E-05   -0.42394E+02    0.92894E+00   -0.41987E-08    0.11838E-05   -0.41987E-08    0.23562E-11
   165    0.47975E+04   -0.42043E+02    0.11654E-05   -0.42043E+02    0.91934E+00   -0.42005E-08    0.11654E-05   -0.42005E-08    0.23143E-11
   166    0.48257E+04   -0.41665E+02    0.11473E-05   -0.41665E+02    0.90961E+00   -0.42032E-08    0.11473E-05   -0.42032E-08    0.22734E-11
   167    0.48536E+04   -0.41262E+02    0.11296E-05   -0.41262E+02    0.89953E+00   -0.42060E-08    0.11296E-05   -0.42060E-08    0.22334E-11
   168    0.48810E+04   -0.40832E+02    0.11123E-05   -0.40832E+02    0.88949E+00   -0.42079E-08    0.11123E-05   -0.42079E-08    0.21944E-11
   169    0.49082E+04   -0.40374E+02    0.10953E-05   -0.40374E+02    0.87917E+00   -0.42080E-08    0.10953E-05   -0.42080E-08    0.21562E-11
   170    0.49350E+04   -0.39890E+02    0.10787E-05   -0.39890E+02    0.86881E+00   -0.42052E-08    0.10787E-05   -0.42052E-08    0.21189E-11
   171    0.49614E+04   -0.39377E+02    0.10623E-05   -0.39377E+02    0.85841E+00   -0.41987E-08    0.10623E-05   -0.41987E-08    0.20825E-11
   172    0.49874E+04   -0.38838E+02    0.10464E-05   -0.38838E+02    0.84788E+00   -0.41875E-08    0.10464E-05   -0.41875E-08    0.20468E-11
   173    0.50129E+04   -0.38273E+02    0.10307E-05   -0.38273E+02    0.83723E+00   -0.41706E-08    0.10307E-05   -0.41706E-08    0.20119E-11
   174    0.50381E+04   -0.37680E+02    0.10154E-05   -0.37680E+02    0.82676E+00   -0.41471E-08    0.10154E-05   -0.41471E-08    0.19778E-11
   175    0.50629E+04   -0.37060E+02    0.10004E-05   -0.37060E+02    0.81617E+00   -0.41161E-08    0.10004E-05   -0.41161E-08    0.19444E-11
   176    0.50872E+04   -0.36413E+02    0.98566E-06   -0.36413E+02    0.80569E+00   -0.40768E-08    0.98566E-06   -0.40768E-08    0.19118E-11
